         2304479 function calls (2304133 primitive calls) in 37.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:1101(copyto)
       78    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:569(_generate_tokens_from_c_tokenizer)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/_config/__init__.py:55(using_pyarrow_string_dtype)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/construction.py:688(_sanitize_non_ordered)
       22    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:126(_classes_and_not_datetimelike)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:1239(getblock)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:913(__init__)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:121(classes)
        1    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:853(show_results)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:123(<lambda>)
       76    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
